Timestamp: Dec 13, 2020, 6:34:21 PM
Aggressiveness: 
Auto_agent_number: 1
Bid_type: dutch
Delay: 
Manual_agent_number: 1
Smart_agent_number: 1


"tick","Last bid for User 0","Last auction for User 0","Last bid for User 1","Last auction for User 1","Last bid for User 2","Last auction for User 2"
1.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,1.0,0.0,0.0,0.0,0.0
112.0,0.0,0.0,0.0,0.0,0.0,1.0
